zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
11105,100,9782,97.8,3.9,3.9,Greek,22,Pizza,16,Italian,15,634672,359158,75957,64.1,32604,1168,2796,15534,4348,3937,2419,2402,13045,13570,4538,2560,5507,11214,11.3,,,326,0.30,333,6709
11106,79,11241,142.3,3.9,3.9,Italian,10,Pizza,9,Bars,8,617368,351474,71228,61.9,32149,1607,2999,14140,4758,3692,2532,2421,12283,13306,4535,3336,5151,9568,11.5,,,407,0.35,226,6181
11109,2,407,203.5,3.5,4.3,Sushi Bars,1,Burgers,1,Food Trucks,1,830910,1140989,167364,83.2,2937,40,149,2344,134,158,63,49,1499,1286,91,11,297,2237,10.7,,,"1,469",0.14,14,15690
11201,117,20967,179.2,3.9,3.8,Italian,21,American (New),19,Pizza,14,1089991,1128477,157141,64.7,45327,2227,3407,22752,5762,5346,3128,2705,18615,18652,3007,1602,4195,25056,11.4,,,387,0.46,253,13732
11203,50,664,13.3,3.4,3.6,Caribbean,14,Restaurants,9,American (New),5,467187,201831,64686,55.3,64482,4100,5986,21410,11031,9960,7067,4928,21260,27127,14271,4948,13611,9571,11.9,,,"1,290",0.01,4848,5444
11204,68,1581,23.3,3.5,3.7,Chinese,21,Pizza,12,Japanese,7,660801,387616,65759,52.6,61752,4680,6208,21871,10201,9177,4588,5027,23966,23491,12809,9517,8517,10406,12.1,,,908,0.03,2650,5420
11205,50,6323,126.5,3.7,3.8,American (New),10,Coffee & Tea,7,Breakfast & Brunch,5,714161,509843,79705,55.5,30678,2301,4596,14658,3120,3124,1597,1282,12409,13089,4329,3610,4053,8910,12.5,,,614,0.21,243,6386
11206,56,4382,78.3,4,4.1,Mexican,13,Bars,9,American (New),8,660411,299920,48686,51,59038,5176,7581,24774,8221,6200,4129,2957,21478,25298,10481,11635,8752,8327,11.6,,,"1,054",0.07,754,4210
11207,23,279,12.1,3.3,3.9,Pizza,4,Spanish,3,Breakfast & Brunch,3,344097,159857,50010,49,68460,6848,8599,25056,11432,8188,5131,3206,22529,30746,14794,12147,11665,6070,11.7,,,"2,977",0.00,5658,4286
11208,32,291,9.1,3.6,3.8,Latin American,8,Pizza,7,Caribbean,3,321598,153142,55563,49.9,69224,6886,8385,26473,12545,8047,4139,2749,24714,30736,21504,10009,9931,5621,12.6,,,"2,163",0.00,7607,4422
11209,204,10473,51.3,3.7,3.6,Pizza,23,Chinese,21,Italian,19,548986,518331,88562,57,59478,2936,4076,23553,10221,8309,5024,5359,22482,23677,8160,4469,8668,20786,11.1,,,292,0.18,1159,7992
11210,58,494,8.5,3.5,3.6,Chinese,10,Caribbean,9,Kosher,8,597188,472877,76701,57.9,49611,4018,5019,16926,9677,7551,3819,2601,18073,21100,10985,2858,8548,11763,10.6,,,855,0.01,5837,7218
11211,129,27759,215.2,4,4.1,Bars,24,American (New),24,Breakfast & Brunch,19,959940,666947,74916,61.3,68952,4585,8494,33978,8301,6466,3271,3857,28033,29206,9374,8410,9334,21627,11.7,,,535,0.40,320,6406
11212,43,125,2.9,3.5,3.6,Caribbean,8,Restaurants,7,Pizza,5,544777,134777,47299,47.1,61406,5572,6239,21588,10844,8504,5119,3540,18424,28751,15906,8751,11698,4581,11.4,,,"1,428",0.00,21174,4140
