Zip,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%)
11205,Northwest Brooklyn,Brooklyn,735100,1748100,0.141,0.065,612,529000,578300,473,0.088,657,0.312,-1,-1,-1,-1,-1,-1,-1,0.1276931161,0.1290068313,0.246452969,0.1003678403,0.1332107199
11206,Bushwick and Williamsburg,Brooklyn,-1,-1,0,0.065,0,800000,415000,456,0.042,626,-1,0.1214470284,0.3772609819,0.1240310078,0.2343669251,0.1387596899,0.0999327806,0.1664799462,0.16468743,0.1250280081,0.1584136231,0.2630517589,-1
11207,East New York and New Lots,Brooklyn,319600,333300,0.169,0.08,287,539000,273000,1316,0.038,295,0.096,0.0546116505,0.1439761695,0.3310900265,0.2808914387,0.0068402471,0.0660856134,0.1165048544,0.0943773095,0.092879257,0.1819634475,0.08878458,0.2228103465
11208,East New York and New Lots,Brooklyn,329400,330900,0.17,0.078,270,429000,386700,2248,0.028,265,0.067,0.0565385823,0.1257459952,0.4072871951,0.2766202492,0.0210449168,0.0538163543,0.0589467072,0.0218003546,0.061541671,0.1500990925,0.1371649108,0.2956086367
11209,Southwest Brooklyn,Brooklyn,833400,910100,0.149,0.22,539,270000,267200,5259,0.063,386,0.105,0.0498996991,0.0339769308,0.2034854564,0.6084503511,0.0530341023,0.0225677031,0.0285857573,0.068582468,0.0834339532,0.0975609756,0.1433228689,0.2617725187
11210,Flatbush,Brooklyn,608800,614700,0.231,0.125,380,264900,378000,4285,0.038,299,0.125,0.0083854819,0.0112640801,0.1969962453,0.7107634543,0.0584480601,0.009261577,0.0048811014,0.0097026993,0.0610772484,0.1778828212,0.2652071153,0.2569971389
11211,Greenpoint,Brooklyn,904700,1122200,0.103,0.203,0,950000,894200,436,0.047,1076,0.255,0.1968688845,0.2534246575,0.3043052838,0.1886497065,0.0166340509,0.0031311155,0.0369863014,0.1805904523,0.1407035176,0.1710113065,0.1184045226,0.1311243719
11212,Central Brooklyn,Brooklyn,314200,313600,0.145,0.186,264,349000,0,2569,0.016,260,0.067,0.0130093744,0.0694471016,0.0413238952,0.5184618328,0.0820738473,0.0036349723,0.2720489765,0.1122156375,0.2246224431,0.1181418467,0.1856241636,0.35442554
11213,Central Brooklyn,Brooklyn,-1,837700,0,0.039,385,550000,320000,3276,0.072,356,-1,0.1408650437,0.0723233278,0.4481210116,0.2987473411,0.0063814701,0.0316709998,0.0235159817,0.1618721461,0.0337899543,0.0794520548,0.2118721461,0.4728310502
11214,Southwest Brooklyn,Brooklyn,591600,682800,0.068,0.155,444,529000,312400,1523,0.061,437,0.149,0.0203095839,0.0903502031,0.0892523877,0.4477988802,0.1787243386,0.1373367,0.0362279065,0.0585273757,0.1004824837,0.0982798406,0.1561778897,0.2164883575
